X,Y,OBJECTID,advisorySpeed,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashRoadSideRoad,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersection,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB
1756943.789,5447808.175,552605,,572100,0,,0,1,,Null,2021/2022,PAREMATA CRESCENT,PAREMATA ROAD,,Non-Injury Crash,No,2021,,North,,0,,Flat,,,,,,Bright sun,2070000,0,0,0,2,,,0,,,,,,Wellington Region,Nil,1-way,Sealed,,0,0,,50,,Off,1,0,,44,Porirua City,Give way,,,,,0,0,Urban,0,,,Fine,Null
1869694.336,5779029.178,552606,,538864,0,0,0,1,0,South,2021/2022,MAMAKU STREET,KARAMU STREET,,Non-Injury Crash,No,2021,0,South,0,0,0,Flat,0,,0,,1,Bright sun,1266000,0,0,0,2,0,0,0,0,0,,0,0,Bay of Plenty Region,Nil,2-way,Sealed,0,0,0,0,50,0,Off,0,0,,24,Rotorua District,Nil,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1414496.072,4948342.465,552607,,601603,0,0,0,0,0,North,2021/2022,MOUNT WATKIN ROAD,RAMROCK ROAD,,Non-Injury Crash,No,2021,0,South,0,0,0,Hill Road,0,,0,,0,Bright sun,2856402,0,0,0,2,0,0,0,0,0,,0,0,Otago Region,Nil,2-way,Unsealed,0,0,0,0,100,0,None,0,0,,71,Dunedin City,Nil,0,0,0,1,0,0,Open,2,0,0,Fine,Null
1769740.654,5916985.785,552608,,522604,0,0,0,0,0,West,2021/2022,TAKUTAI AVENUE,TE AKAU CRESCENT,,Non-Injury Crash,No,2022,0,West,0,0,0,Hill Road,0,,0,,0,Dark,677000,0,0,0,2,0,0,0,0,0,,0,1,Auckland Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,0,0,,76,Auckland,Nil,0,0,0,0,0,0,Urban,1,0,0,Fine,Null
1761065.284,5914370.476,552609,,520202,0,,0,0,,Null,2021/2022,GREAT SOUTH ROAD,ELLERSLIE-PANMURE HIGHWAY,,Non-Injury Crash,No,2022,,South,,0,,Flat,,,,,,Dark,612200,0,0,0,2,,,0,,,,,,Auckland Region,Nil,1-way,Sealed,,0,0,,50,,On,0,0,,76,Auckland,Give way,,,,,1,0,Urban,0,,,Fine,Null
1749964.558,5424954.227,552610,,576903,0,0,0,1,0,East,2021/2022,HENRY STREET,SAMOA STREET,,Non-Injury Crash,No,2021,0,East,0,0,0,Hill Road,0,Labour Weekend,0,,0,Unknown,2180400,0,0,0,2,0,0,0,0,1,,0,0,Wellington Region,Nil,2-way,Sealed,0,0,0,0,50,0,Null,0,0,,47,Wellington City,Unknown,0,0,0,0,0,0,Urban,0,0,0,Null,Null
1802945.292,5815178.967,552611,,530200,0,,0,1,,North,2021/2022,WAIRERE DRIVE,CLYDE STREET,,Non-Injury Crash,No,2021,,North,,0,,Flat,,,,,,Bright sun,894200,0,0,0,2,,,0,,,,,,Waikato Region,Nil,2-way,Sealed,,0,0,,60,,Off,1,0,,16,Hamilton City,Nil,,,,,0,0,Urban,0,,,Fine,Null
1406357.312,4981387.773,552612,85,601301,0,0,0,1,0,South,2021/2022,DUNBACK-MORRISONS ROAD,PRINGLES ROAD,,Non-Injury Crash,Yes,2022,0,South,0,0,0,Hill Road,0,,0,,0,Bright sun,2854600,0,0,0,2,0,0,0,0,0,,0,0,Otago Region,Nil,2-way,Sealed,0,0,0,0,100,0,None,0,0,,68,Waitaki District,Nil,0,0,0,0,0,0,Open,0,0,1,Fine,Null
1758728.929,5926124.992,552613,,508020,0,,0,2,,Null,2021/2022,LAKE ROAD,HAURAKI ROAD,,Non-Injury Crash,No,2021,,Null,,0,,Null,,,,,,Unknown,321200,0,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,76,Auckland,Traffic Signals,,,,,0,0,Urban,0,,,Null,Null
1937103.019,5621801.975,552614,,546802,0,,0,1,,North,2021/2022,MARINE PARADE,BROWNING STREET,,Non-Injury Crash,No,2021,,South,,0,,Flat,,,,,,Bright sun,1423800,0,0,0,2,,,0,,,,,,Hawke's Bay Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,31,Napier City,Nil,,,,,0,0,Urban,1,,,Fine,Null
