X,Y,OBJECTID,advisorySpeed,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashRoadSideRoad,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersection,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB
1937548.3901,5594914.4746,241489,,545860,0,0,0,1,1,West,2019/2020,WAIMARAMA ROAD,LOPEZ LANE,,Minor Crash,No,2019,0,East,1,0,0,Hill Road,0,,0,,0,Bright sun,1467200,1,0,0,2,0,0,0,0,0,,0,0,Hawke's Bay Region,Nil,2-way,Sealed,0,0,0,0,100,0,None,0,0,,30,Hastings District,Unknown,0,0,0,0,0,0,Open,0,0,0,Fine,Null
1575853.1793,5183577.4596,241490,,595700,0,,0,1,,Null,2018/2019,ANZAC DRIVE,NEW BRIGHTON ROAD,,Non-Injury Crash,Yes,2019,,South,,0,,Flat,,,,,,Bright sun,2604515,0,0,0,4,,,0,,,,,,Canterbury Region,Nil,2-way,Sealed,,0,0,,70,,None,0,0,,60,Christchurch City,Give way,,,,,0,0,Urban,1,,,Fine,Null
1770311.3893,5907194.4357,241491,35,523713,0,,0,2,,West,2018/2019,ORMISTON ROAD,BELLINGHAM ROAD,,Non-Injury Crash,No,2019,,West,,0,,Flat,,,,,,Bright sun,712401,0,0,0,4,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,60,,Off,0,0,30,76,Auckland,Nil,,,,,0,0,Urban,0,,,Fine,Null
1757952.0647,5917013.4671,241492,,515700,0,,0,2,,Null,2018/2019,GILLIES AVENUE,BRIGHTSIDE ROAD,,Non-Injury Crash,No,2019,,North,,0,,Flat,,,,,,Bright sun,457900,0,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,76,Auckland,Give way,,,,,0,0,Urban,0,,,Fine,Null
1571400.4669,5184908.4492,241493,,590506,0,,0,1,,East,2019/2020,074-0000/04.17,PHILPOTTS ROAD,,Serious Crash,Yes,2019,,East,,0,,Flat,,,,,,Bright sun,2507603,0,0,0,2,,,0,,,,,,Canterbury Region,Nil,2-way,Sealed,,0,1,,80,,Off,0,0,50,60,Christchurch City,Unknown,,,,,1,0,Open,0,,,Fine,Null
1748905.2795,5427744.0835,241494,,573000,0,,0,1,,North,2019/2020,JERVOIS QUAY,HARRIS STREET,,Non-Injury Crash,No,2019,,North,,0,,Flat,,,,,,Dark,2127500,0,0,0,3,,,0,,,,,,Wellington Region,Nil,1-way,Sealed,,0,0,,50,,On,0,0,,47,Wellington City,Nil,,,,,0,0,Urban,1,,,Fine,Null
1768267.7121,5908237.7133,241495,,523711,0,0,0,1,0,South,2019/2020,EAST TAMAKI ROAD,BIRMINGHAM ROAD,,Non-Injury Crash,No,2019,0,North,0,0,1,Hill Road,0,,0,,0,Overcast,712303,0,0,0,4,0,0,0,0,0,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,0,0,60,0,Off,0,0,,76,Auckland,Nil,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1793421.7885,5500938.6431,241496,,564210,0,0,0,1,0,South,2018/2019,BRISTOL STREET,EXETER STREET,,Non-Injury Crash,No,2019,0,North,0,0,0,Flat,0,,0,,0,Bright sun,1865000,0,0,0,2,0,0,0,0,1,,0,0,Manawatū-Whanganui Region,Nil,2-way,Sealed,0,0,0,0,50,0,Off,1,0,,42,Horowhenua District,Unknown,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1757173.2232,5444238.0051,241497,,571300,0,0,0,1,0,Null,2018/2019,JUSTINE STREET,ASTROLABE STREET,,Non-Injury Crash,No,2019,0,North,0,0,0,Hill Road,0,,0,,0,Dark,2064500,0,0,0,2,0,0,0,0,0,,0,1,Wellington Region,Speed hump,2-way,Sealed,0,0,0,0,50,0,On,0,0,,44,Porirua City,Nil,0,0,0,0,0,0,Urban,0,0,0,Light rain,Null
1796275.1285,5820685.0236,241498,,528403,0,,0,1,,North,2018/2019,MAUI STREET,TAWN PLACE,,Non-Injury Crash,No,2019,,North,,0,,Null,,,,,,Unknown,977301,0,0,0,2,,,0,,,,,,Waikato Region,Nil,2-way,Null,,0,0,,50,,Null,0,0,,16,Hamilton City,Unknown,,,,,0,0,Urban,0,,,Null,Null
